LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL1918,A30 between A38 and A38 (AL1918),A38,A38,208876,65300,208613,67987
AL1919,A30 between A38 and A38 (AL1919),A38,A38,208628,67992,208910,65405
AL1922,A30 between A388 and A388 (AL1922),A388,A388,232559,83697,237355,85427
AL1923,A30 between A388 and A388 (AL1923),A388,A388,237368,85422,232549,83686
AL1925,A30 between A388 and A386 (AL1925),A388,A386,237355,85427,254937,91982
AL1926A,A30 between A382 and A386 (AL1926A),A382,A386,269597,92883,254662,91710
AL193,A12 between A414 and A130 (AL193),A414,A130,574774,205422,574007,203464
AL1931,A30 between M5 J31 and A377 (AL1931),M5 J31,A377,292927,87781,291047,90141
AL1933,A30 between A377 and M5 J31 (AL1933),A377,M5 J31,290992,90248,292929,87807
AL1946B,A1 between A1(M) and A639 (AL1946B),A1(M),A639,448658,421061,451054,413669
AL196,A12 between A130/A138 and A414 (AL196),A130/A138,A414,574564,209875,574774,205422
AL1962,A63 between A1165 and A1033 (AL1962),A1165,A1033,510664,428810,511280,429121
AL1963,A63 between A1079 and A1165 (AL1963),A1079,A1165,509302,428367,510664,428810
AL1965,A180 between A160 and M180 J5 (AL1965),A160,M180 J5,513644,414430,505170,411074
AL1968,A180 between A1136 and A1173 (AL1968),A1136,A1173,523337,411153,519442,412721
AL1969,A180 between A1173 and A1136 (AL1969),A1173,A1136,519359,412756,523340,411164
AL1970,A180 between A1136 and A180 (AL1970),A1136,A180,523340,411164,525265,410745
AL1971,A180 between A180 and A1136 (AL1971),A180,A1136,525261,410702,523337,411153
AL1975A,A1 between A620 and A1(M) J34 (AL1975A),A620,A1(M) J34,464801,380348,462362,388315
AL1978A,A1 between A57 and A620 (AL1978A),A57,A620,464782,378105,464801,380348
AL1982B,A1 between A57 and A614 (AL1982B),A57,A614,471939,373666,464782,378105
AL1983B,A1 between A614 and A57 (AL1983B),A614,A57,464797,378103,471942,373677
AL199,A12 between A120 and A130/A138 (AL199),A120,A130/A138,591811,223892,574564,209875
AL1996,A1 between A606 and A151 (AL1996),A606,A151,500660,307421,493726,323788
AL1999,A1 between A43 and A47 (AL1999),A43,A47,502327,305600,507529,299754
AL2,A303 between A3088 and A356 (AL2),A3088,A356,348058,118959,345775,117030
AL2008,A46 between A607 and A6 (AL2008),A607,A6,461195,311670,459228,310877
AL2010,A46 between A6 and A607 (AL2010),A6,A607,459119,310854,461167,311650
AL2012,A46 between A607 and A607 (AL2012),A607,A607,461167,311650,462304,313432
AL2013,A46 between A607 and A607 (AL2013),A607,A607,462308,313415,461195,311670
AL2015,A46 between A607 and A6006 (AL2015),A607,A6006,462304,313432,464595,322637
AL2016,A46 between A6006 and A607 (AL2016),A6006,A607,464608,322633,462308,313415
AL2017,A500 between A34 and M6 J16 (AL2017),A34,M6 J16,383286,351749,377753,352370
AL202,A12 between A120 and A1124 (AL202),A120,A1124,591780,223887,594653,225106
AL2023,A500 between A527 and A527 (AL2023),A527,A527,384776,350807,385602,349259
AL2028,A500 between A5006 and A53 (AL2028),A5006,A53,387692,345672,386416,346892
AL2029,A500 between A52 and A52 (AL2029),A52,A52,388041,345005,387692,345672
AL2031,A500 between A50 and A52 (AL2031),A50,A52,387767,343677,388041,345005
AL2034,A500 between A52 and A52 (AL2034),A52,A52,387670,345796,388068,345099
AL2037,A500 between A34 and A519 (AL2037),A34,A519,386725,342780,385098,342065
AL204,A12 between A1124 and A120 (AL204),A1124,A120,594731,225097,591811,223892
AL2042,A50 between A50 and A500 (AL2042),A50,A500,389571,343781,387767,343677
AL2043,A50 between A500 and A50 (AL2043),A500,A50,387815,343751,389482,343783
AL2056,A50 between A520 and A521 (AL2056),A520,A521,393103,342287,394252,341719
AL2059,A50 between A520 and A5007 (AL2059),A520,A5007,393129,342265,391969,342757
AL2062,A50 between A521 and A521 (AL2062),A521,A521,394252,341719,396340,340547
AL2063,A50 between A521 and A521 (AL2063),A521,A521,396361,340518,394290,341648
AL2065,A50 between A518 and A518 (AL2065),A518,A518,410015,334437,408704,334715
AL2066,A50 between A518 and A518 (AL2066),A518,A518,408664,334738,409963,334475
AL2069A,A50 between A521 and A522 (AL2069A),A521,A522,396340,340547,407601,334798
AL2069B,A50 between A522 and A518 (AL2069B),A522,A518,407601,334798,408664,334738
AL2070,A50 between A515 and A515 (AL2070),A515,A515,416699,331828,415231,332905
AL2071,A50 between A515 and A515 (AL2071),A515,A515,415237,332918,416638,331874
AL2075,A50 between A511 and A516 (AL2075),A511,A516,420167,331633,425409,331186
AL2076,A50 between A516 and A38 (AL2076),A516,A38,425409,331186,429171,329925
AL2078,A38 between A5132 and A50 (AL2078),A5132,A50,428111,328549,429163,329914
AL2079,A38 between A50 and A5132 (AL2079),A50,A5132,429188,329921,428124,328544
AL208,A12 between A14 and A120 (AL208),A14,A120,612670,241990,601181,229202
AL2083,A50 between A38 and A514 (AL2083),A38,A514,429171,329925,437770,329407
AL2085,A50 between A514 and A38 (AL2085),A514,A38,437907,329361,429180,329910
AL2090B,A6 between A50 and A5111 (AL2090B),A50,A5111,440679,330476,438801,333849
AL2103,A38 between A516 and A5111 (AL2103),A516,A5111,431984,335031,432726,336041
AL2104,A38 between A5111 and A516 (AL2104),A5111,A516,432846,336140,431986,335006
AL211,A12 between A1124 and A133 (AL211),A1124,A133,594653,225106,596549,225738
AL2111,A38 between A5111 and A52 (AL2111),A5111,A52,432726,336041,433407,336954
AL2112,A38 between A52 and A5111 (AL2112),A52,A5111,433465,336979,432846,336140
AL2116,A38 between A61 and A6 (AL2116),A61,A6,436432,339980,435058,339347
AL2121,A38 between A52 and A6 (AL2121),A52,A6,433407,336954,434975,339314
AL2124,A38 between A6 and A52 (AL2124),A6,A52,435058,339347,433465,336979
AL2132,A38 between A61 and A610 (AL2132),A61,A610,436366,340003,439097,351303
AL2133,A38 between M1 J28 and A61 (AL2133),M1 J28,A61,445408,356147,440624,354761
AL2134,A38 between A61 and M1 J28 (AL2134),A61,M1 J28,440492,354759,445324,356297
AL214,A120 between A1232 and A133 (AL214),A1232,A133,601852,228888,609723,225111
AL2142,A52 between A6005 and A5111 (AL2142),A6005,A5111,439599,335593,438907,335438
AL2146,A52 between A5111 and A6005 (AL2146),A5111,A6005,438897,335451,439427,335540
AL215,A120 between A133 and A1232 (AL215),A133,A1232,609735,225096,601940,228842
AL2151A,A52 between M1 J25 and A6096 (AL2151A),M1 J25,A6096,447203,335610,440057,335680
AL2151B,A52 between A6007 and M1 J25 (AL2151B),A6007,M1 J25,450527,337904,447203,335610
AL2158,A52 between A6464 and A6007 (AL2158),A6464,A6007,452778,338224,450527,337904
AL2159,A52 between A6007 and A6464 (AL2159),A6007,A6464,450482,337878,452726,338240
AL216,A12 between A12 and A120 (AL216),A12,A120,596549,225738,601063,229230
AL217,A12 between A120 and A12 (AL217),A120,A12,601181,229202,596576,225745
AL2173,A52 between A453 and A6005 (AL2173),A453,A6005,455916,337218,455110,338407
AL2177,A52 between A6005 and A52 (AL2177),A6005,A52,455110,338407,454519,338826
AL2181,A52 between A606 and A60 (AL2181),A606,A60,459332,334165,457675,334761
AL2183,A52 between A60 and A606 (AL2183),A60,A606,457618,334804,459230,334146
AL2187,A30 between A35 and A30 (AL2187),A35,A30,316899,101179,317346,101457
AL2187A,A30 between A30 and A35 (AL2187A),A30,A35,317289,101370,316905,101166
AL2191A,A30 between A377 and A382 (AL2191A),A377,A382,291047,90141,269597,92883
AL2192,A30 between A386 and A388 (AL2192),A386,A388,254662,91710,237368,85422
AL2195A,A30 between A391 and A38 (AL2195A),A391,A38,203040,62991,208876,65300
AL2196A,A30 between A38 and A391 (AL2196A),A38,A391,208910,65405,203045,62976
AL22,A303 between A3057 and A3093 (AL22),A3057,A3093,436366,144068,438492,144744
AL220,A120 between A1232 and A12 (AL220),A1232,A12,601940,228842,601181,229202
AL2202,A38 between A3064 and A386 (AL2202),A3064,A386,246374,58625,248235,57827
AL2204,A38 between A386 and A3064 (AL2204),A386,A3064,248387,57800,246367,58617
AL2206,A38 between A374 and A386 (AL2206),A374,A386,251793,56644,248387,57800
AL221,A120 between A12 and A1232 (AL221),A12,A1232,601063,229230,601852,228888
AL2213,A3113 between M25 J14 and A3044 (AL2213),M25 J14,A3044,503756,175473,504734,174948
AL2214,A3113 between A3044 and M25 J14 (AL2214),A3044,M25 J14,504716,174904,503652,175314
AL2216,A40 between M40 J1 and A40 (AL2216),M40 J1,A40,504842,185734,505826,185616
AL2217,A40 between A40 and M40 J1 (AL2217),A40,M40 J1,505857,185600,504845,185715
AL2219,A404 between A308 and A4130 (AL2219),A308,A4130,485111,184710,484282,182286
AL2222,A404 between A4155 and M40 J4 (AL2222),A4155,M40 J4,486235,187623,485311,191092
AL2231,A47 between A15 and A15 (AL2231),A15,A15,520053,302304,517859,301497
AL2236,A47 between A148 and A17 (AL2236),A148,A17,561804,318097,560746,318659
AL2238,A47 between A10 and A148 (AL2238),A10,A148,563374,318095,561804,318097
AL2241,A47 between A1122 and A1065 (AL2241),A1122,A1065,578311,309910,581946,310160
AL2243,A47 between A1065 and A1122 (AL2243),A1065,A1122,581946,310145,578343,309847
AL2251,A47 between A1042 and A1042 (AL2251),A1042,A1042,629795,308530,628806,308505
AL2256,A12 between A143 and A1243 (AL2256),A143,A1243,652040,304945,651572,306552
AL2258,A12 between A1243 and A143 (AL2258),A1243,A143,651572,306613,652048,304948
AL2267,A11 between A1075 and A134 (AL2267),A1075,A134,589345,285324,586438,285132
AL2268,A11 between A134 and A1075 (AL2268),A134,A1075,586393,285119,589294,285323
AL227,A14 between A154 and A154 (AL227),A154,A154,628366,234982,628680,233903
AL2270,A11 between A134 and A134 (AL2270),A134,A134,585328,283159,586393,285119
AL2272,A11 between A134 and A134 (AL2272),A134,A134,586438,285132,585353,283207
AL2274,A11 between A14 and A1101 (AL2274),A14,A1101,567116,266639,572769,274112
AL228,A14 between A154 and A154 (AL228),A154,A154,628650,233868,628354,234984
AL2282,A14 between A140 and A1156 (AL2282),A140,A1156,610774,254293,613572,248168
AL229,A14 between A14 and A154 (AL229),A14,A154,628913,236441,628366,234982
AL2291,A12 between A120 and A14 (AL2291),A120,A14,601063,229230,612585,242111
AL2292,A14 between A12 and A154 (AL2292),A12,A154,623310,241448,628913,236441
AL2293,A14 between A154 and A14 (AL2293),A154,A14,628354,234984,628857,236329
AL2295,A14 between A154 and A12 (AL2295),A154,A12,628857,236329,623427,241347
AL23,A303 between A3093 and A3057 (AL23),A3093,A3057,438506,144729,436369,144056
AL2301,A12 between A133 and A1124 (AL2301),A133,A1124,596576,225745,594731,225097
AL2302,A12 between A130/A138 and A120 (AL2302),A130/A138,A120,574569,209898,591780,223887
AL2309,A12 between A414 and A130/A138 (AL2309),A414,A130/A138,574762,205422,574569,209898
AL2313,A12 between A130 and A414 (AL2313),A130,A414,573991,203461,574762,205422
AL2314,A12 between A130 and A414 (AL2314),A130,A414,574007,203464,567694,202309
AL2318,A12 between M25 J28 and A1023 (AL2318),M25 J28,A1023,556753,192394,562228,196733
AL2321,A12 between A1023 and M25 J28 (AL2321),A1023,M25 J28,562311,196733,556773,192397
AL2324,A13 between A126 and M25 J30 (AL2324),A126,M25 J30,558976,179809,557585,180062
