LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL1761,A21 between A2014 and A26 (AL1761),A2014,A26,559661,144835,558217,144959
AL1765,A21 between A225 and A26 (AL1765),A225,A26,554217,151367,558222,144970
AL1766,A21 between A26 and A225 (AL1766),A26,A225,558217,144959,554264,151252
AL1768,A30 between M25 J13 and A3044 (AL1768),M25 J13,A3044,502345,172818,504324,171972
AL1769,A316 between M3 J1 and A316 (AL1769),M3 J1,A316,510355,170343,510834,170666
AL1770,A316 between A316 and M3 J1 (AL1770),A316,M3 J1,510851,170656,510364,170326
AL1791A,A2 between A296 and M25 J2 (AL1791A),A296,M25 J2,558642,172703,555816,172091
AL1792A,A2 between M25 J2 and A296 (AL1792A),M25 J2,A296,555604,172059,558631,172721
AL1795,A21 between A225 and M25 (AL1795),A225,M25,554264,151252,549887,155856
AL1797,A21 between M25 and A225 (AL1797),M25,A225,549898,155861,554217,151367
AL1798,A259 between A268 and A259 (AL1798),A268,A259,591752,120278,584510,112624
AL1799,A259 between A268 and A268 (AL1799),A268,A268,592272,120628,591752,120278
AL18,A303 between A343 and A3057 (AL18),A343,A3057,434516,144782,436366,144068
AL1800,A595 between A595 and A5086 (AL1800),A595,A5086,303926,505943,300723,511580
AL1801,A595 between A5086 and A595 (AL1801),A5086,A595,300714,511621,303926,505943
AL1802,A417 between M5 J11A and A40 (AL1802),M5 J11A,A40,388153,217692,387424,218075
AL1803,A417 between A40 and M5 J11A (AL1803),A40,M5 J11A,387434,218100,388143,217708
AL1804,A66 between A596 and A595 (AL1804),A596,A595,300545,528684,305080,529127
AL1805,A2070 between A2042 and A259 (AL1805),A2042,A259,601583,140197,600625,126973
AL1805A,A20 between A260 and M20 J13 (AL1805A),A260,M20 J13,622138,138702,621500,137749
AL1806,A2070 between A259 and A2042 (AL1806),A259,A2042,600597,126963,601573,140208
AL1807,A2070 between M20 J10 and A2042 (AL1807),M20 J10,A2042,603783,141535,601583,140197
AL1808,A2070 between A2042 and M20 J10 (AL1808),A2042,M20 J10,601573,140208,603685,141658
AL1809,A66 between A595 and A596 (AL1809),A595,A596,305100,529104,300545,528684
AL1810,A2 between A2050 and A260 (AL1810),A2050,A260,617349,155289,622328,149176
AL1811,A2 between A260 and A2050 (AL1811),A260,A2050,622495,148891,617360,155276
AL1814,A2 between A2050 and A28 (AL1814),A2050,A28,617360,155276,613653,156751
AL1815,A2 between A28 and A2050 (AL1815),A28,A2050,613666,156751,617349,155289
AL1817,A2 between A2050 and A28 (AL1817),A2050,A28,611649,158084,613666,156751
AL1818,A2 between A28 and A2050 (AL1818),A28,A2050,613653,156751,611521,158132
AL1819,A249 between M2 J5 and A2 (AL1819),M2 J5,A2,585560,162341,588038,164220
AL1820A,A2 between A2260 and A296 (AL1820A),A2260,A296,562129,172280,558642,172703
AL1821A,A2 between A296 and A2260 (AL1821A),A296,A2260,558631,172721,562133,172299
AL1822A,A2 between A227 and M2 J1 (AL1822A),A227,M2 J1,564131,171196,570188,169584
AL1823A,A2 between A227 and A2260 (AL1823A),A227,A2260,564125,171365,562129,172280
AL1824A,A2 between A2260 and A227 (AL1824A),A2260,A227,562133,172299,564131,171196
AL1827,A13 between A1012 and A126 (AL1827),A1012,A126,560808,180347,558976,179809
AL1829,A13 between A126 and A1012 (AL1829),A126,A1012,558977,179822,560710,180247
AL1832A,A1089 between A13 and A126 (AL1832A),A13,A126,563396,180844,563413,178248
AL1835,A13 between A1089 and A1012 (AL1835),A1089,A1012,563392,180829,560808,180347
AL1837,A13 between A1012 and A1089 (AL1837),A1012,A1089,560710,180247,563396,180844
AL1838A,A1089 between A126 and A13 (AL1838A),A126,A13,563428,178286,563392,180829
AL1840,A404 between A404(M) and A4130 (AL1840),A404(M),A4130,485669,180968,484273,182273
AL1841,A404 between A4130 and A404(M) (AL1841),A4130,A404(M),484282,182286,485689,180978
AL1843,A404 between M40 J4 and A4155 (AL1843),M40 J4,A4155,485429,191109,486234,187707
AL1846A,A404 between A308 and A4155 (AL1846A),A308,A4155,485035,184675,486235,187623
AL1846B,A404 between A4130 and A308 (AL1846B),A4130,A308,484273,182273,485035,184675
AL1848,A404 between A4155 and A308 (AL1848),A4155,A308,486234,187707,485111,184710
AL1850,A31 between A338 and M27 J1 (AL1850),A338,M27 J1,414743,105586,428680,113254
AL1852,A31 between M27 J1 and A338 (AL1852),M27 J1,A338,428722,113266,414792,105595
AL186,A12 between A414 and A1023 (AL186),A414,A1023,567694,202309,562311,196733
AL1864A,A30 between A375 and A35 (AL1864A),A375,A35,314809,100088,316899,101179
AL1865C,A30 between A35 and A375 (AL1865C),A35,A375,316905,101166,314770,100034
AL1866,A38 between A380 and A379 (AL1866),A380,A379,290970,84270,291726,87205
AL1867,A38 between A379 and A380 (AL1867),A379,A380,291725,87180,290977,84256
AL1869,A38 between A379 and M5 J31 (AL1869),A379,M5 J31,291726,87205,293023,87875
AL187,A12 between A1023 and A414 (AL187),A1023,A414,562228,196733,567697,202328
AL1870,A38 between M5 J31 and A379 (AL1870),M5 J31,A379,293032,87856,291725,87180
AL1877,A38 between A383 and A382 (AL1877),A383,A382,278605,72089,282878,75201
AL1879,A38 between A382 and A383 (AL1879),A382,A383,282980,75290,278618,72084
AL1882,A38 between A383 and A384 (AL1882),A383,A384,278618,72084,274627,66807
AL1883,A38 between A384 and A383 (AL1883),A384,A383,274616,66811,278605,72089
AL1885,A38 between A385 and A384 (AL1885),A385,A384,272138,60800,274616,66811
AL1887,A38 between A384 and A385 (AL1887),A384,A385,274627,66807,272131,60747
AL1890,A38 between A385 and A3121 (AL1890),A385,A3121,272131,60747,268482,57796
AL1891,A38 between A3121 and A385 (AL1891),A3121,A385,268470,57802,272138,60800
AL1896,A38 between A374 and A3121 (AL1896),A374,A3121,251723,56711,268470,57802
AL1898,A38 between A3121 and A374 (AL1898),A3121,A374,268482,57796,251793,56644
AL19,A303 between A34 and A3093 (AL19),A34,A3093,446293,141961,438506,144729
AL190,A12 between A414 and A130 (AL190),A414,A130,567697,202328,573991,203461
AL1900,A38 between A386 and A374 (AL1900),A386,A374,248235,57827,251723,56711
AL1907,A30 between A3058 and A3058 (AL1907),A3058,A3058,188041,55788,189590,56769
AL1908,A30 between A3058 and A3058 (AL1908),A3058,A3058,189567,56745,188047,55777
AL1909,A30 between A3076 and A3058 (AL1909),A3076,A3058,186177,54779,188041,55788
AL1910,A30 between A3058 and A3076 (AL1910),A3058,A3076,188047,55777,186179,54767
AL1911,A30 between A390 and A3047 (AL1911),A390,A3047,174781,46963,172228,44437
AL1912,A30 between A3047 and A390 (AL1912),A3047,A390,172225,44449,174731,46917
AL1913,A30 between A3047 and A3047 (AL1913),A3047,A3047,163275,40547,172225,44449
AL1914,A30 between A3047 and A3047 (AL1914),A3047,A3047,172228,44437,163278,40537
